"id","bumd_id","no_akun","nama_akun","tahun_2020","tahun_2021","tahun_2022","tahun_2023","tahun_2024","created_at","updated_at"
241,2,1,Aset,342824077,351578333,363053044,620335610,512292010,,
242,2,2,Liabilitas,140072174,161624361,208956825,193893631,73203112,,
243,2,3,Ekuitas,202751904,189953972,154096219,426441978,439088898,,
244,2,4,Pendapatan Usaha,620261363,386933660,1016135565,918691684,808613158,,
245,2,5,Beban Pokok Pendapatan,595969552,370750993,973593124,827193658,731851174,,
246,2,6,Laba Kotor,24291811,16182668,42542441,91498026,76761984,,
247,2,7,Beban Usaha,42502237,35825060,42177097,50462754,70823319,,
248,2,8,Laba Usaha,18210426,19642393,365344,41035272,5938665,,
249,2,9,Laba Tahun Berjalan,17599076,14735304,37944697,22707192,7612943,,
250,2,10,Dividen Bagian Pemprov DKI Jakarta,3431607,0,0,0,0,,
251,18,1,Aset,423709046,431152082,430320372,457969254,466893544,,
252,18,2,Liabilitas,270305066,265849087,254448908,250763870,207643240,,
253,18,3,Ekuitas,153403980,165302995,175871464,207205384,259250304,,
254,18,4,Pendapatan Usaha,435088477,465792976,511335883,533308006,552165931,,
255,18,5,Beban Pokok Pendapatan,377136449,405823274,445598679,440212401,442436954,,
256,18,6,Laba Kotor,57952028,59969702,65737204,93095605,109728977,,
257,18,7,Beban Usaha,28501412,33687299,33410061,42221142,43188825,,
258,18,8,Laba Usaha,29450616,26282403,32327143,50874463,66540152,,
259,18,9,Laba Tahun Berjalan,10490947,18099909,21586243,38768435,64722969,,
260,18,10,Dividen Bagian Pemprov DKI Jakarta,2029810,1102716,1426876,1758444,3361871,,
261,15,1,Aset,19547672012,19662346747,21982058571,22670957434,0,,
262,15,2,Liabilitas,6073352913,5720536625,6805663259,6361415100,0,,
263,15,3,Ekuitas,13474319099,13941810122,15176395312,16309542334,0,,
264,15,4,Pendapatan Usaha,5511245322,6024593663,7144752429,7633153176,0,,
265,15,5,Beban Pokok Pendapatan,3754357342,4282066437,5077140800,5361573689,0,,
266,15,6,Laba Kotor,1756887980,1742527226,2067611629,2271579487,0,,
267,15,7,Beban Usaha,860417870,808429801,878616440,954414102,0,,
268,15,8,Laba Usaha,896470110,934097425,1188995189,1317165385,0,,
269,15,9,Laba Tahun Berjalan,1007204266,775725551,1095073406,1311593231,0,,
270,15,10,Dividen Bagian Pemprov DKI Jakarta,28000000,17680000,17680000,20320000,28800000,,
271,20,1,Aset,2290936802,2369842451,2190177293,2414641999,0,,
272,20,2,Liabilitas,1827461663,2099227610,1857159486,1942977302,0,,
273,20,3,Ekuitas,463475139,270614841,333017807,471664697,0,,
274,20,4,Pendapatan Usaha,46567054,26706824,412697874,570223882,0,,
275,20,5,Beban Pokok Pendapatan,12911969,11780828,58514519,88947479,0,,
276,20,6,Laba Kotor,33655085,14925996,354183354,481276403,0,,
277,20,7,Beban Usaha,196610590,184332754,232314141,272261840,0,,
278,20,8,Laba Usaha,162955506,169406758,121869213,209014563,0,,
279,20,9,Laba Tahun Berjalan,194924412,19810721,62682923,137840457,0,,
280,20,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,0,0,,
