title,keterangan,akses,filename,original_filename
"Undang-Undang Nomor 23 Tahun 2014","Pemerintahan Daerah",publik,rtxar/YRHKu0TQfI3S7niN.pdf,"UU Nomor 23 Tahun 2014.pdf"
"Undang-Undang Nomor 2 Tahun 2015","Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2014 tentang Perubahan atas Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah",publik,rtxar/1EbdDvpCyYqR6I8a.pdf,"UU Nomor 2 Tahun 2015.pdf"
"Undang-Undang Nomor 9 Tahun 2015","Perubahan Kedua Atas Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah",publik,rtxar/YpgQiJT78LDM4Foq.pdf,"UU Nomor 9 Tahun 2015.pdf"
"Perpu Nomor 2 Tahun 2014","Perubahan atas Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah",publik,rtxar/XQ3hMjkt9vNsTZx6.pdf,"Perpu Nomor 2 Tahun 2014.pdf"
"Peraturan Pemerintah Nomor 54 Tahun 2017","Badan Usaha Milik Daerah",publik,rtxar/v4qnSPWsAy9zV8Fx.pdf,"PP Nomor 54 Tahun 2017.pdf"
"Peraturan Menteri Dalam Negeri Nomor 70 Tahun 2016","Pedoman Pemberian Subsidi dari Pemerintah Daerah kepada Badan Usaha Milik Daerah Penyelenggara Sistem Penyediaan Air Minum",publik,rtxar/0AoPqhCzWTgr7HfJ.pdf,"Permendagri Nomor 70 Tahun 2016.pdf"
"Peraturan Menteri Dalam Negeri Nomor 118 Tahun 2018","Rencana Bisnis, Rencana Kerja dan Anggaran, Kerja Sama, Pelaporan dan Evaluasi Badan Usaha Milik Daerah",publik,rtxar/TWu09dV8oscivNSr.pdf,"Permendagri Nomor 118 Tahun 2018.pdf"
"Peraturan Gubernur Nomor 81 Tahun 2012","Perubahan atas Peraturan Gubernur Nomor 109 Tahun 2011 tentang Kepengurusan Badan Usaha Milik Daerah",publik,rtxar/wVO7YsPDEGpkdjSi.pdf,"Pergub Nomor 81 Tahun 2012.pdf"
"Peraturan Gubernur Nomor 21 Tahun 2014","Perubahan Kedua atas Peraturan Gubernur Nomor 109 Tahun 2011 tentang Kepengurusan Badan Usaha Milik Daerah",publik,rtxar/jP4iCKsGq0dLnX5B.pdf,"Pergub Nomor 21 Tahun 2014.pdf"
"Peraturan Gubernur Nomor 186 Tahun 2014","Perubahan Ketiga atas Peraturan Gubernur Nomor 109 Tahun 2011 tentang Kepengurusan Badan Usaha Milik Daerah",publik,rtxar/st4JoIFYxGurLkWn.pdf,"Pergub 186 Tahun 2014.pdf"
